%% flowcalc run at Thu Jun  2 13:15:35 2016
% modules: coral 

@relation 'Capture_02_06_2016.pcap'

%% flowcalc 0.2
% fc_id:       flow id
% fc_tstamp:   timestamp of first packet in the flow
% fc_duration: flow duration
% fc_proto:    transport protocol
% fc_src_addr: IP address of connection initiator
% fc_src_port: TP port number of connection initiator
% fc_dst_addr: IP address of remote peer
% fc_dst_port: TP port number of remote peer

@attribute fc_id numeric
@attribute fc_tstamp numeric
@attribute fc_duration numeric
@attribute fc_proto {TCP,UDP}
@attribute fc_src_addr string
@attribute fc_src_port numeric
@attribute fc_dst_addr string
@attribute fc_dst_port numeric

%% coral 0.1
% crl_group: protocol group
% crl_name: protocol name
@attribute crl_group string
@attribute class {HTTPS, HTTP, DNS}

@data
577,1464864043.142068,0.296804,TCP,10.0.2.15,38328,54.76.58.225,443,WWW,HTTPS
528,1464864041.603287,1.855213,TCP,10.0.2.15,48648,104.155.70.73,443,WWW,HTTPS
390,1464864037.923867,5.834574,TCP,10.0.2.15,60042,107.178.244.242,80,WWW,HTTP
415,1464864038.321327,5.445931,TCP,10.0.2.15,43338,104.69.123.166,80,WWW,HTTP
388,1464864037.923523,5.853460,TCP,10.0.2.15,45288,80.70.210.158,80,WWW,HTTP
392,1464864037.954906,5.826056,TCP,10.0.2.15,51222,195.54.48.228,80,WWW,HTTP
573,1464864042.936692,0.885307,TCP,10.0.2.15,57270,216.58.208.38,443,WWW,HTTPS
426,1464864038.460538,5.415196,TCP,10.0.2.15,47028,46.105.198.136,80,WWW,HTTP
536,1464864041.881552,1.994828,TCP,10.0.2.15,48482,52.19.114.52,443,WWW,HTTPS
598,1464864043.878538,0.004234,TCP,10.0.2.15,55838,193.1.253.139,80,WWW,HTTP
593,1464864043.877951,0.004988,TCP,10.0.2.15,56774,107.178.245.205,80,WWW,HTTP
592,1464864043.877833,0.005136,TCP,10.0.2.15,55826,193.1.253.139,80,WWW,HTTP
591,1464864043.877718,0.005281,TCP,10.0.2.15,56770,107.178.245.205,80,WWW,HTTP
538,1464864041.889655,2.005648,TCP,10.0.2.15,55436,216.58.210.2,443,WWW,HTTPS
599,1464864043.891959,0.003408,TCP,10.0.2.15,55840,193.1.253.139,80,WWW,HTTP
309,1464864033.789157,10.108040,TCP,10.0.2.15,33136,23.38.219.170,80,WWW,HTTP
439,1464864039.161382,4.749536,TCP,10.0.2.15,42618,37.252.162.229,80,WWW,HTTP
597,1464864043.878448,0.037450,TCP,10.0.2.15,59690,81.26.166.11,80,WWW,HTTP
199,1464864030.563109,13.361179,TCP,10.0.2.15,55522,193.1.253.139,80,WWW,HTTP
527,1464864041.603018,2.363591,TCP,10.0.2.15,34236,54.175.101.67,443,WWW,HTTPS
587,1464864043.676130,0.316887,TCP,10.0.2.15,48694,104.155.70.73,443,WWW,HTTPS
588,1464864043.877278,0.161678,TCP,10.0.2.15,56764,107.178.245.205,80,WWW,HTTP
590,1464864043.877588,0.165317,TCP,10.0.2.15,55822,193.1.253.139,80,WWW,HTTP
600,1464864043.892115,0.168288,TCP,10.0.2.15,55842,193.1.253.139,80,WWW,HTTP
589,1464864043.877374,0.186010,TCP,10.0.2.15,59674,81.26.166.11,80,WWW,HTTP
596,1464864043.878354,0.309675,TCP,10.0.2.15,56780,107.178.245.205,80,WWW,HTTP
595,1464864043.878250,0.311171,TCP,10.0.2.15,56778,107.178.245.205,80,WWW,HTTP
594,1464864043.878108,0.311350,TCP,10.0.2.15,56776,107.178.245.205,80,WWW,HTTP
152,1464864029.444918,14.936025,TCP,10.0.2.15,49354,178.250.2.74,80,WWW,HTTP
45,1464864024.246848,20.183950,TCP,10.0.2.15,52998,216.58.208.46,443,WWW,HTTPS
3,1464864010.658248,0.002371,UDP,10.0.2.15,65198,136.206.11.45,53,Network_Infrastructure,DNS
4,1464864010.658305,0.002331,UDP,10.0.2.15,65198,136.206.1.3,53,Network_Infrastructure,DNS
1,1464864010.658093,0.004488,UDP,127.0.0.1,33970,127.0.1.1,53,Network_Infrastructure,DNS
2,1464864010.658140,0.028845,UDP,10.0.2.15,65198,136.206.217.50,53,Network_Infrastructure,DNS
10,1464864011.544240,0.001762,UDP,10.0.2.15,31858,136.206.11.45,53,Network_Infrastructure,DNS
13,1464864011.546416,0.032364,UDP,10.0.2.15,17047,136.206.11.45,53,Network_Infrastructure,DNS
7,1464864011.537673,0.041128,UDP,10.0.2.15,63261,136.206.11.45,53,Network_Infrastructure,DNS
14,1464864011.546576,0.032228,UDP,10.0.2.15,15320,136.206.11.45,53,Network_Infrastructure,DNS
8,1464864011.537809,0.040999,UDP,10.0.2.15,46461,136.206.11.45,53,Network_Infrastructure,DNS
6,1464864011.537630,0.041339,UDP,127.0.0.1,55548,127.0.1.1,53,Network_Infrastructure,DNS
12,1464864011.546385,0.032608,UDP,127.0.0.1,47867,127.0.1.1,53,Network_Infrastructure,DNS
11,1464864011.546146,0.040870,UDP,10.0.2.15,20229,136.206.11.45,53,Network_Infrastructure,DNS
9,1464864011.544192,0.042911,UDP,127.0.0.1,49097,127.0.1.1,53,Network_Infrastructure,DNS
16,1464864015.477869,0.001584,UDP,10.0.2.15,33345,136.206.11.45,53,Network_Infrastructure,DNS
17,1464864015.478011,0.001456,UDP,10.0.2.15,31367,136.206.11.45,53,Network_Infrastructure,DNS
15,1464864015.477826,0.001721,UDP,127.0.0.1,34712,127.0.1.1,53,Network_Infrastructure,DNS
20,1464864015.778680,0.002769,UDP,10.0.2.15,48660,136.206.11.45,53,Network_Infrastructure,DNS
19,1464864015.778544,0.002921,UDP,10.0.2.15,33277,136.206.11.45,53,Network_Infrastructure,DNS
18,1464864015.778498,0.003060,UDP,127.0.0.1,54378,127.0.1.1,53,Network_Infrastructure,DNS
22,1464864015.988948,0.001827,UDP,10.0.2.15,30884,136.206.11.45,53,Network_Infrastructure,DNS
23,1464864015.989083,0.040575,UDP,10.0.2.15,57874,136.206.11.45,53,Network_Infrastructure,DNS
21,1464864015.988902,0.040836,UDP,127.0.0.1,41460,127.0.1.1,53,Network_Infrastructure,DNS
26,1464864016.044828,0.002429,UDP,10.0.2.15,33237,136.206.11.45,53,Network_Infrastructure,DNS
